label,N,support,f1_baseline,f1_floor21,f1_gated,fp_baseline,fp_floor21,fp_gated
udu_Latn,17827,60,1.0,1.0,1.0,0,0,0
uig_Arab,100000,58,1.0,1.0,1.0,0,0,0
uig_Latn,59496,59,1.0,0.9915966386554621,0.9915966386554621,0,1,1
ukr_Cyrl,100000,58,1.0,1.0,1.0,0,0,0
umb_Latn,100000,107,0.9809523809523809,0.9809523809523809,0.9809523809523809,0,0,0
ura_Latn,17359,56,0.9909909909909909,0.9909909909909909,0.9909909909909909,0,0,0
urd_Arab,100000,108,0.9639639639639639,0.9596412556053812,0.9596412556053812,7,8,8
uzn_Cyrl,37596,58,1.0,1.0,1.0,0,0,0
uzn_Latn,100000,58,0.9914529914529915,0.9747899159663865,0.9206349206349206,1,3,10
vec_Latn,100000,58,0.9914529914529915,0.9914529914529915,0.9508196721311475,1,1,6
ven_Latn,100000,89,1.0,1.0,1.0,0,0,0
vep_Latn,9947,58,0.9105691056910569,0.9047619047619048,0.9572649572649573,9,11,3
vie_Latn,100000,60,1.0,0.9917355371900827,0.9917355371900827,0,1,1
vmw_Latn,100000,58,0.9734513274336283,0.9734513274336283,0.9734513274336283,0,0,0
war_Latn,100000,60,0.983050847457627,0.983050847457627,0.9747899159663865,0,0,1
wln_Latn,25529,59,0.6514285714285715,0.6514285714285715,0.6514285714285715,59,59,59
wol_Latn,69728,60,0.8759124087591241,0.8108108108108109,0.8108108108108109,17,28,28
wuu_Hani,74364,58,0.6097560975609757,0.6097560975609757,0.6097560975609757,56,56,56
wwa_Latn,13509,39,1.0,1.0,0.9870129870129869,0,0,0
