lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
ded_Latn,34664,False,0.9958228905597327,10,0.9962390305056414,9,0.9962390305056414,9,1192
des_Latn,17332,False,0.9995022399203584,1,0.999004975124378,2,0.9995022399203584,1,1004
deu_Latn,100000,False,0.9883726311172455,1064,0.9888213793131181,1135,0.9896894382500758,1250,250334
dga_Latn,17138,False,0.9863263445761167,41,0.9863346492559977,42,0.994159237626806,9,1627
dgc_Latn,17586,False,0.9652042360060514,69,0.9666666666666666,66,0.9953100573215216,7,957
dgi_Latn,13517,False,0.9931245225362872,18,0.9931245225362872,18,0.9957870547682881,11,1300
dgr_Latn,18978,False,0.9990467111534795,2,0.9990467111534795,2,0.9990467111534795,2,1048
dgz_Latn,24281,False,0.9892141756548537,13,0.9884526558891454,14,0.9884526558891454,14,643
dhg_Latn,1607,False,0.970873786407767,3,0.9803921568627451,2,0.99009900990099,1,50
dhm_Latn,11061,False,0.9206208425720621,172,0.9263063867798124,157,0.9832455720440401,17,1045
dhv_Latn,100000,False,0.9977146018021167,19,0.9978314971401958,22,0.9975560081466396,46,34408
did_Latn,6278,False,0.9963702359346642,4,0.9972752043596731,3,0.999088422971741,0,549
dig_Latn,13447,False,0.8935553946415641,285,0.8986880466472303,268,0.9741345005968962,46,1243
dik_Latn,40448,False,0.9012256669069936,5,0.9020878329733621,7,0.9020878329733621,7,3043
dip_Latn,6750,False,0.9315746084089035,77,0.9330024813895782,74,0.9345484672742337,72,571
diq_Latn,28046,False,0.8586560741476333,649,0.8484848484848485,716,0.8484848484848485,716,2799
dis_Latn,11060,False,0.9852169766332857,30,0.9870998566650742,26,0.9942140790742526,9,1034
diu_Latn,166,False,0.0,93,0.0,0,0.0,0,2
div_Thaa,33933,False,0.9995662859621223,3,0.9995662859621223,3,0.9995662859621223,3,3457
dje_Latn,6801,False,0.9791332263242375,23,0.9798873692679002,21,0.9886178861788618,9,613
djk_Latn,92008,False,0.9745331069609507,361,0.9715284433669729,422,0.9715284433669729,422,8699
djr_Latn,10796,False,0.9926071956628881,11,0.9926071956628881,11,0.9926071956628881,11,1011
dks_Latn,15265,False,0.8322875071306332,530,0.8345241497570735,522,0.8357183743560389,517,1517
dln_Latn,26435,False,0.9718920958309751,133,0.9715255515745804,135,0.9715255515745804,135,2592
dng_Cyrl,804,False,0.8163265306122449,9,0.975609756097561,1,0.975609756097561,1,20
dnj_Latn,21454,False,0.9985902255639098,5,0.9983556495184402,6,0.9983556495184402,6,2126
dnw_Latn,6439,False,0.9903593339176161,10,0.9929701230228472,7,0.9964664310954063,2,566
dob_Latn,31031,False,0.9964686998394864,7,0.9958293230670516,9,0.9958293230670516,9,1556
doi_Deva,3674,False,0.5397489539748953,426,0.5730211817168339,368,0.8302521008403361,76,272
dop_Latn,33651,False,0.999126383226558,1,0.999126383226558,1,0.999126383226558,1,3436
dos_Latn,6742,False,0.9844897959183674,19,0.9877149877149877,15,0.9925925925925926,9,603
dow_Latn,11019,False,0.9985652797704447,3,0.9985652797704447,3,0.9971209213051823,1,1044
drg_Latn,201,False,0.015503875968992248,252,0.6666666666666666,0,0.6666666666666666,0,4
dru_Latn,29903,False,0.9939859672569329,29,0.9931564012685694,34,0.9931564012685694,34,2982
dsb_Latn,9265,False,0.5309043591411842,1412,0.5758976182012087,1157,0.7837969741337238,400,846
dsh_Latn,6743,False,0.9769427839453458,27,0.9811320754716981,22,0.9991266375545852,1,572
dtb_Latn,6615,False,0.9593908629441625,48,0.9642857142857143,42,0.987783595113438,13,567
dtp_Latn,52534,False,0.9696126685212925,40,0.9717273018243892,44,0.9717273018243892,44,4775
dts_Latn,13356,False,0.9944267515923567,12,0.9944267515923567,12,0.994797919167667,5,1251
dty_Deva,11466,False,0.5196405648267008,1791,0.5247601763028261,1753,0.6412657410397159,1012,1092
dua_Latn,43871,False,0.9954205294314756,26,0.9930911522175173,47,0.9930911522175173,47,4471
due_Latn,17710,False,0.9809417040358744,33,0.9814918676388109,32,0.9971477467199087,3,876
dug_Latn,13397,False,0.9381327334083239,163,0.9423728813559321,151,0.9888888888888889,21,1253
duo_Latn,17496,False,0.9460450497642745,102,0.9465408805031446,101,0.9922992299229924,12,904
dur_Latn,11023,False,0.998530132288094,3,0.998530132288094,3,0.9995095635115253,1,1019
dwr_Ethi,1693,False,0.8288288288288289,12,0.8288288288288289,12,0.8288288288288289,12,53
dwr_Latn,28305,False,0.9419299743808711,132,0.9418803418803419,131,0.9418803418803419,131,1107
dww_Latn,31055,False,0.9934959349593495,7,0.9934959349593495,7,0.9934959349593495,7,612
dyi_Latn,17802,False,0.9954413593037713,8,0.9954413593037713,8,0.9970918155380142,3,1204
dyo_Latn,14804,False,0.9812583668005355,49,0.9825737265415548,45,0.9921954530030541,12,1473
dyu_Latn,100000,False,0.9636910469880569,277,0.9641519296105932,283,0.9626397481819168,395,23498
dzo_Tibt,13407,False,0.7805227354099534,433,0.7805227354099534,433,0.7805227354099534,433,1270
ebk_Latn,17799,False,0.9930624380574826,13,0.9935547843331681,12,0.9985052316890882,2,1003
efi_Latn,100000,False,0.9982098982098982,32,0.9983213527440327,38,0.9983038555118846,42,85591
eka_Latn,17820,False,0.9918061987887424,20,0.9911000355998576,22,0.9974919383733428,4,1395
ekk_Latn,100000,False,0.973778957389724,2458,0.9747254045116334,2660,0.9756186563036499,3257,353261
eko_Latn,2700,False,0.6985446985446986,145,0.8215158924205379,73,0.9479768786127167,14,168
ell_Grek,100000,False,0.9849864162813975,244,0.9856725116092298,318,0.9871487099875085,334,393732
eme_Latn,645,False,0.4411764705882352,36,0.7317073170731708,9,0.7317073170731708,9,17
emi_Latn,18149,False,0.9879051765844218,24,0.9893410852713178,21,0.9893410852713178,21,1022
eml_Latn,25500,False,0.9123711340206186,426,0.9045097681212342,472,0.9045097681212342,472,2528
emp_Latn,18016,False,0.9948078920041536,2,0.9953295277633627,2,0.9953295277633627,2,966
enb_Latn,13439,False,0.997270955165692,6,0.9980491611392899,4,0.99921875,1,1280
