lang,N,row_treatment,gate_on,rule_clause,floor_unmod,floor_assigned,seen_rescale,target_lang,floor_gap_shift
dag_Latn,11906,floor21,True,else_floor21_gate,-17.93317,-21.0,0.0,maw_Latn,0.0
dah_Latn,23848,unmod,False,head_unmod,-18.040237,,0.0,nop_Latn,0.0
dak_Latn,2019,floor21,True,else_floor21_gate,-15.360661,-21.0,0.0,avk_Latn,0.0
dan_Latn,100000,unmod,False,head_unmod,-19.230942,,0.0,,
dar_Cyrl,1870,floor21,True,else_floor21_gate,-15.394108,-21.0,0.0,agx_Cyrl,0.0
dbq_Latn,6656,floor21,True,else_floor21_gate,-16.689199,-21.0,0.0,gid_Latn,0.0
ddg_Latn,1354,floor21,True,else_floor21_gate,-14.452139,-21.0,0.0,mkz_Latn,0.0
ddn_Latn,6765,floor21,True,else_floor21_gate,-16.463541,-21.0,0.0,mkl_Latn,0.0
ded_Latn,34664,unmod,False,head_unmod,-18.158409,,0.0,sun_Latn,0.0
des_Latn,17332,floor21,True,else_floor21_gate,-17.694326,-21.0,0.0,sri_Latn,0.0
deu_Latn,100000,unmod,False,head_unmod,-19.021727,,0.0,,
dga_Latn,17138,floor21,True,else_floor21_gate,-17.046009,-21.0,0.0,gur_Latn,-2.1987510000000015
dgc_Latn,17586,floor21,True,else_floor21_gate,-17.419233,-21.0,0.0,prf_Latn,0.0
dgi_Latn,13517,floor21,True,else_floor21_gate,-17.229832,-21.0,0.0,biv_Latn,0.0
dgr_Latn,18978,unmod,False,head_unmod,-17.786219,,0.0,diq_Latn,0.0
dgz_Latn,24281,unmod,False,head_unmod,-17.787006,,0.0,mti_Latn,0.0
dhg_Latn,1607,floor21,True,else_floor21_gate,-15.639632,-21.0,0.0,djr_Latn,0.0
dhm_Latn,11061,floor21,True,else_floor21_gate,-16.877102,-21.0,0.0,ndo_Latn,-2.474024
dhv_Latn,100000,unmod,False,head_unmod,-18.550406,,0.0,,
did_Latn,6278,floor21,True,else_floor21_gate,-16.72888,-21.0,0.0,kik_Latn,-2.1328449999999997
dig_Latn,13447,floor21,True,else_floor21_gate,-17.044167,-21.0,0.0,nyf_Latn,0.0
dik_Latn,40448,unmod,False,head_unmod,-18.245483,,0.0,sco_Latn,0.0
dip_Latn,6750,floor21,True,else_floor21_gate,-16.369703,-21.0,0.0,dks_Latn,0.0
diq_Latn,28046,unmod,False,head_unmod,-17.444571,,0.0,kiu_Latn,0.0
dis_Latn,11060,floor21,True,else_floor21_gate,-16.933622,-21.0,0.0,trp_Latn,-3.0146809999999995
diu_Latn,166,floor21,True,else_floor21_gate,-13.391807,-21.0,0.0,tzl_Latn,0.0
div_Thaa,33933,unmod,False,head_unmod,-18.569044,,0.0,,
dje_Latn,6801,floor21,True,else_floor21_gate,-16.30526,-21.0,0.0,ses_Latn,-3.5077929999999995
djk_Latn,92008,unmod,False,head_unmod,-18.628944,,0.0,srn_Latn,0.0
djr_Latn,10796,floor21,True,else_floor21_gate,-17.588898,-21.0,0.0,gnn_Latn,0.0
dks_Latn,15265,floor21,True,else_floor21_gate,-17.023563,-21.0,0.0,dik_Latn,-2.754517
dln_Latn,26435,unmod,False,head_unmod,-17.784527,,0.0,hra_Latn,0.0
dng_Cyrl,804,floor21,True,else_floor21_gate,-14.370975,-21.0,0.0,eve_Cyrl,0.0
dnj_Latn,21454,unmod,False,head_unmod,-18.121744,,0.0,yre_Latn,0.0
dnw_Latn,6439,floor21,True,else_floor21_gate,-16.782564,-21.0,0.0,sgc_Latn,0.0
dob_Latn,31031,unmod,False,head_unmod,-18.094311,,0.0,kud_Latn,0.0
doi_Deva,3674,floor21,True,else_floor21_gate,-15.991643,-21.0,0.0,anp_Deva,0.0
dop_Latn,33651,unmod,False,head_unmod,-18.204365,,0.0,kbp_Latn,0.0
dos_Latn,6742,floor21,True,else_floor21_gate,-16.622681,-21.0,0.0,lob_Latn,0.0
dow_Latn,11019,floor21,True,else_floor21_gate,-16.987667,-21.0,0.0,gya_Latn,-2.790579000000001
drg_Latn,201,floor21,True,else_floor21_gate,-13.459515,-21.0,0.0,aqz_Latn,0.0
dru_Latn,29903,unmod,False,head_unmod,-18.098639,,0.0,swh_Latn,0.0
dsb_Latn,9265,floor21,True,else_floor21_gate,-16.652584,-21.0,0.0,hsb_Latn,-3.2371480000000012
dsh_Latn,6743,floor21,True,else_floor21_gate,-16.716808,-21.0,0.0,lad_Latn,0.0
dtb_Latn,6615,floor21,True,else_floor21_gate,-16.669847,-21.0,0.0,dtp_Latn,-2.359508999999999
dtp_Latn,52534,unmod,False,head_unmod,-18.640491,,0.0,sun_Latn,0.0
dts_Latn,13356,floor21,True,else_floor21_gate,-17.225685,-21.0,0.0,bam_Latn,-3.71903
dty_Deva,11466,floor21,True,else_floor21_gate,-17.208883,-21.0,0.0,npi_Deva,-1.7426819999999985
dua_Latn,43871,unmod,False,head_unmod,-17.702116,,0.0,lub_Latn,0.0
due_Latn,17710,floor21,True,else_floor21_gate,-17.489216,-21.0,0.0,fil_Latn,-2.077686
dug_Latn,13397,floor21,True,else_floor21_gate,-17.186041,-21.0,0.0,nyf_Latn,0.0
duo_Latn,17496,floor21,True,else_floor21_gate,-17.537907,-21.0,0.0,prf_Latn,0.0
dur_Latn,11023,floor21,True,else_floor21_gate,-17.04147,-21.0,0.0,pfe_Latn,0.0
dwr_Ethi,1693,floor21,True,else_floor21_gate,-15.752379,-21.0,0.0,gof_Ethi,0.0
dwr_Latn,28305,unmod,False,head_unmod,-17.935183,,0.0,wal_Latn,0.0
dww_Latn,31055,unmod,False,head_unmod,-18.059042,,0.0,meu_Latn,0.0
dyi_Latn,17802,floor21,True,else_floor21_gate,-17.51535,-21.0,0.0,bam_Latn,-3.71903
dyo_Latn,14804,floor21,True,else_floor21_gate,-17.270912,-21.0,0.0,csk_Latn,0.0
dyu_Latn,100000,unmod,False,head_unmod,-18.80472,,0.0,,
dzo_Tibt,13407,floor21,True,else_floor21_gate,-17.678276,-21.0,0.0,bod_Tibt,-2.2012810000000016
ebk_Latn,17799,floor21,True,else_floor21_gate,-17.529425,-21.0,0.0,ifb_Latn,-2.8737509999999986
efi_Latn,100000,unmod,False,head_unmod,-18.682095,,0.0,,
eka_Latn,17820,floor21,True,else_floor21_gate,-17.442772,-21.0,0.0,mad_Latn,-2.2479520000000015
ekk_Latn,100000,unmod,False,head_unmod,-19.303837,,0.0,,
eko_Latn,2700,floor21,True,else_floor21_gate,-15.554376,-21.0,0.0,mgh_Latn,-2.475887
ell_Grek,100000,unmod,False,head_unmod,-19.74822,,0.0,,
eme_Latn,645,floor21,True,else_floor21_gate,-13.55615,-21.0,0.0,wew_Latn,0.0
emi_Latn,18149,unmod,False,head_unmod,-17.531788,,0.0,mak_Latn,0.0
eml_Latn,25500,unmod,False,head_unmod,-17.787354,,0.0,lmo_Latn,0.0
emp_Latn,18016,unmod,False,head_unmod,-17.562475,,0.0,sja_Latn,0.0
enb_Latn,13439,floor21,True,else_floor21_gate,-17.309282,-21.0,0.0,spy_Latn,-3.2606719999999996
eng_Latn,100000,unmod,False,head_unmod,-18.972822,,0.0,,
enl_Latn,11016,floor21,True,else_floor21_gate,-17.177095,-21.0,0.0,cag_Latn,0.0
enm_Latn,34177,unmod,False,head_unmod,-17.998791,,0.0,eng_Latn,0.0
enq_Latn,16127,floor21,True,else_floor21_gate,-17.445528,-21.0,0.0,kyc_Latn,-3.0452709999999996
enx_Latn,26138,unmod,False,head_unmod,-18.184471,,0.0,diq_Latn,0.0
epo_Latn,100000,unmod,False,head_unmod,-18.470936,,0.0,,
eri_Latn,17713,floor21,True,else_floor21_gate,-17.639128,-21.0,0.0,kki_Latn,0.0
ese_Latn,24273,unmod,False,head_unmod,-18.287439,,0.0,arg_Latn,0.0
esi_Latn,11038,floor21,True,else_floor21_gate,-17.20779,-21.0,0.0,esk_Latn,0.0
esk_Latn,17756,floor21,True,else_floor21_gate,-17.659691,-21.0,0.0,kal_Latn,-2.2775479999999995
ess_Latn,6942,floor21,True,else_floor21_gate,-16.647751,-21.0,0.0,esu_Latn,0.0
esu_Latn,11057,floor21,True,else_floor21_gate,-16.949707,-21.0,0.0,kal_Latn,-2.2775479999999995
eto_Latn,153,floor21,True,else_floor21_gate,-13.369411,-21.0,0.0,bor_Latn,0.0
etr_Latn,9965,floor21,True,else_floor21_gate,-17.058746,-21.0,0.0,kki_Latn,0.0
etu_Latn,11024,floor21,True,else_floor21_gate,-17.190819,-21.0,0.0,eka_Latn,0.0
eus_Latn,100000,unmod,False,head_unmod,-18.972387,,0.0,,
eve_Cyrl,1953,floor21,True,else_floor21_gate,-15.404027,-21.0,0.0,ckt_Cyrl,0.0
ewe_Latn,100000,unmod,False,head_unmod,-18.796236,,0.0,,
ewo_Latn,11283,floor21,True,else_floor21_gate,-16.809902,-21.0,0.0,fan_Latn,0.0
ext_Latn,8692,floor21,True,else_floor21_gate,-16.582001,-21.0,0.0,ast_Latn,-1.8884870000000014
eza_Latn,30724,unmod,False,head_unmod,-18.254416,,0.0,izz_Latn,0.0
faa_Latn,24288,unmod,False,head_unmod,-18.087751,,0.0,mri_Latn,0.0
fad_Latn,1949,floor21,True,else_floor21_gate,-15.290133,-21.0,0.0,avk_Latn,0.0
fai_Latn,28850,unmod,False,head_unmod,-18.119085,,0.0,jav_Latn,0.0
fal_Latn,13515,floor21,True,else_floor21_gate,-17.066933,-21.0,0.0,fuv_Latn,-3.190923999999999
fan_Latn,17431,floor21,True,else_floor21_gate,-16.797794,-21.0,0.0,bum_Latn,-2.246157
fao_Latn,94618,unmod,False,head_unmod,-19.046661,,0.0,isl_Latn,0.0
far_Latn,10940,floor21,True,else_floor21_gate,-17.028482,-21.0,0.0,kwf_Latn,-3.315670000000001
fas_Arab,100000,unmod,False,head_unmod,-18.983715,,0.0,,
fat_Latn,39870,unmod,False,head_unmod,-17.858471,,0.0,twi_Latn,0.0
ffm_Latn,24480,unmod,False,head_unmod,-17.604994,,0.0,fuh_Latn,0.0
fij_Latn,100000,unmod,False,head_unmod,-18.654804,,0.0,,
fil_Latn,100000,unmod,False,head_unmod,-18.922314,,0.0,,
fin_Latn,100000,unmod,False,head_unmod,-19.2782,,0.0,,
fit_Latn,3881,floor21,True,else_floor21_gate,-15.678094,-21.0,0.0,fin_Latn,-1.7218000000000018
fkv_Latn,1884,floor21,True,else_floor21_gate,-14.864482,-21.0,0.0,fit_Latn,0.0
fmu_Deva,974,floor21,True,else_floor21_gate,-14.894477,-21.0,0.0,kas_Deva,0.0
fon_Latn,100000,unmod,False,head_unmod,-18.940411,,0.0,,
for_Latn,31149,unmod,False,head_unmod,-18.078775,,0.0,kin_Latn,0.0
fra_Latn,100000,unmod,False,head_unmod,-18.970764,,0.0,,
frd_Latn,10934,floor21,True,else_floor21_gate,-17.104633,-21.0,0.0,bjn_Latn,-3.302102999999999
fro_Latn,15794,floor21,True,else_floor21_gate,-16.444376,-21.0,0.0,fra_Latn,-2.029236000000001
frp_Latn,5176,floor21,True,else_floor21_gate,-16.790182,-21.0,0.0,nrf_Latn,0.0
frr_Latn,10794,floor21,True,else_floor21_gate,-16.372046,-21.0,0.0,nds_Latn,-2.0873029999999986
fry_Latn,100000,unmod,False,head_unmod,-19.022299,,0.0,,
fub_Latn,38248,unmod,False,head_unmod,-18.011917,,0.0,wol_Latn,0.0
fud_Latn,9316,floor21,True,else_floor21_gate,-16.224007,-21.0,0.0,wls_Latn,-2.4270780000000016
