lang,tier
kmh_Latn,family_script
kmk_Latn,script
kmm_Latn,script
kmo_Latn,family_script
kmr_Cyrl,family_script
kmr_Latn,family_script
kms_Latn,family_script
kmu_Latn,script
kmy_Latn,script
knc_Arab,script
knc_Latn,script
kne_Latn,genus_script
knf_Latn,family_script
kng_Latn,genus_script
knj_Latn,genus_script
knk_Latn,genus_script
kno_Latn,script
knv_Latn,script
knx_Latn,script
kny_Latn,genus_script
kog_Latn,script
koi_Cyrl,family_script
koo_Latn,script
kor_Hang,none
kos_Latn,genus_script
kpe_Latn,script
kpf_Latn,script
kpg_Latn,genus_script
kpj_Latn,script
kpq_Latn,script
kpr_Latn,genus_script
kpv_Cyrl,family_script
kpw_Latn,family_script
kpx_Latn,family_script
kpz_Latn,family_script
kqa_Latn,script
kqc_Latn,script
kqe_Latn,script
kqf_Latn,script
kql_Latn,script
kqn_Latn,script
kqo_Latn,script
kqp_Latn,script
kqs_Latn,script
kqw_Latn,script
kqy_Ethi,family_script
krc_Cyrl,genus_script
kri_Latn,script
krj_Latn,script
krl_Latn,family_script
kru_Deva,script
krx_Latn,script
ksb_Latn,genus_script
ksc_Latn,script
ksd_Latn,genus_script
ksf_Latn,genus_script
ksh_Latn,genus_script
ksj_Latn,script
ksp_Latn,script
ksr_Latn,script
kss_Latn,family_script
ksw_Mymr,script
ktb_Ethi,script
ktj_Latn,script
ktm_Latn,script
kto_Latn,script
ktu_Latn,genus_script
ktz_Latn,script
kua_Latn,script
kub_Latn,script
kud_Latn,script
kue_Latn,genus_script
kuj_Latn,script
