lang,script,N,logN,H,zH,peak,k_close,d_nn,nn_lang,d_up,target_lang,up_resratio,support_val,fp_val,magnet_ratio,category
mva_Latn,Latn,31340,4.496,2.8485,-0.035,0.2,17,0.9627,max_Latn,1.0578,sun_Latn,0.3134,4,0,0.0,head
mvn_Latn,Latn,17532,4.244,2.835,-0.223,0.2,38,0.8511,wed_Latn,1.07,tbo_Latn,0.7161,11,0,0.0,mid
mvp_Latn,Latn,13386,4.127,2.9139,0.881,0.2,83,0.5722,mqj_Latn,0.5722,mqj_Latn,0.5455,13,0,0.0,mid
mwc_Latn,Latn,5701,3.756,2.9595,1.519,0.2,140,0.6058,bmk_Latn,0.7528,wed_Latn,0.9097,4,0,0.0,mid
mwf_Latn,Latn,268,2.43,3.216,5.108,0.2,178,0.47,bor_Latn,0.4835,aqz_Latn,0.9889,0,0,0.0,flat_magnet
mwl_Latn,Latn,29497,4.47,3.0109,2.238,0.2,257,0.3584,glg_Latn,0.3584,glg_Latn,0.295,22,21,0.913,head
mwm_Latn,Latn,34765,4.541,2.7636,-1.223,0.2,0,1.0286,prg_Latn,1.2293,sba_Latn,0.9262,25,0,0.0,head
mwn_Latn,Latn,45676,4.66,2.9034,0.733,0.2,152,0.2666,mgr_Latn,0.2666,mgr_Latn,0.4568,47,3,0.062,head
mwp_Latn,Latn,4930,3.693,2.8658,0.208,0.2,69,0.8193,ldn_Latn,1.0466,jav_Latn,0.0493,3,0,0.0,mid
mwq_Latn,Latn,13480,4.13,2.7934,-0.806,0.2,43,0.8727,cfm_Latn,0.8727,cfm_Latn,0.167,16,0,0.0,mid
mwv_Latn,Latn,13480,4.13,2.9047,0.751,0.2,79,0.8292,mgm_Latn,0.8617,bug_Latn,0.9132,12,0,0.0,mid
mww_Latn,Latn,100000,5.0,2.7498,-1.416,0.2,1,0.4438,hnj_Latn,,,,154,2,0.013,head
mxb_Latn,Latn,17827,4.251,2.7937,-0.802,0.2,5,0.6417,mim_Latn,0.7557,mxv_Latn,0.1783,24,0,0.0,mid
mxp_Latn,Latn,17765,4.25,2.7995,-0.72,0.2,12,0.9194,mxq_Latn,0.9194,mxq_Latn,0.9968,9,0,0.0,mid
mxq_Latn,Latn,17822,4.251,2.8053,-0.638,0.2,15,0.9194,mxp_Latn,0.9197,mco_Latn,0.1782,18,0,0.0,mid
mxt_Latn,Latn,17738,4.249,2.7828,-0.955,0.2,9,0.6048,mih_Latn,0.6048,mih_Latn,0.9989,13,0,0.0,mid
mxv_Latn,Latn,100000,5.0,2.8102,-0.57,0.2,4,0.7346,mim_Latn,,,,124,0,0.0,head
mya_Mymr,Mymr,100000,5.0,2.6839,-0.647,0.2,2,0.6926,blk_Mymr,,,,459,0,0.0,head
myb_Latn,Latn,17794,4.25,2.7779,-1.022,0.2,32,0.9062,goh_Latn,1.1481,vls_Latn,0.6978,16,0,0.0,mid
myk_Latn,Latn,17969,4.255,2.8415,-0.132,0.2,44,0.8258,bam_Latn,0.8258,bam_Latn,0.9611,17,0,0.0,mid
myu_Latn,Latn,17307,4.238,2.8258,-0.352,0.2,24,0.9194,arr_Latn,1.2036,bjn_Latn,0.6258,8,0,0.0,mid
myv_Cyrl,Cyrl,46588,4.668,2.8377,-0.421,0.2,60,0.2215,mdf_Cyrl,0.5557,rus_Cyrl,0.4659,37,11,0.289,head
myw_Latn,Latn,20830,4.319,2.9058,0.767,0.2,45,0.8708,kak_Latn,1.0599,pag_Latn,0.2083,6,0,0.0,head
myx_Latn,Latn,24108,4.382,2.9068,0.782,0.2,122,0.5307,lwg_Latn,0.8002,leh_Latn,0.4317,23,0,0.0,head
myy_Latn,Latn,17572,4.245,2.783,-0.951,0.2,9,0.5225,bsn_Latn,0.993,bao_Latn,0.9846,12,0,0.0,mid
mza_Latn,Latn,17806,4.251,2.7659,-1.19,0.2,8,0.9314,mpm_Latn,0.9384,xtm_Latn,0.8081,8,0,0.0,mid
mzh_Latn,Latn,30095,4.479,2.8275,-0.328,0.2,11,0.5492,wlv_Latn,1.1637,vro_Latn,0.5884,32,0,0.0,head
mzk_Latn,Latn,13518,4.131,2.7849,-0.924,0.2,25,0.9234,tzl_Latn,1.1827,wol_Latn,0.1939,8,0,0.0,mid
mzl_Latn,Latn,11046,4.043,2.7918,-0.828,0.2,15,0.9322,zpj_Latn,1.0839,mxq_Latn,0.6198,8,0,0.0,mid
mzm_Latn,Latn,17809,4.251,2.7486,-1.433,0.2,5,0.9119,mev_Latn,1.2128,bam_Latn,0.9525,12,0,0.0,mid
mzn_Arab,Arab,25413,4.405,2.8604,0.424,0.2,37,0.1956,fas_Arab,0.1956,fas_Arab,0.2541,27,132,4.714,head
mzw_Latn,Latn,17739,4.249,2.8397,-0.158,0.2,56,0.7996,vag_Latn,0.7996,vag_Latn,0.995,13,0,0.0,mid
mzz_Latn,Latn,1662,3.221,3.0385,2.625,0.2,151,0.631,diu_Latn,0.7515,bwd_Latn,0.4292,0,0,0.0,mid
nab_Latn,Latn,17051,4.232,2.7547,-1.347,0.2,0,1.0518,tzl_Latn,1.321,cuc_Latn,0.9577,7,0,0.0,mid
naf_Latn,Latn,30339,4.482,2.8337,-0.242,0.2,6,0.9757,thv_Latn,1.0454,kpf_Latn,0.8603,5,1,0.167,head
nah_Latn,Latn,14383,4.158,2.9058,0.767,0.2,127,0.4988,nhi_Latn,0.4988,nhi_Latn,0.7733,12,1,0.077,mid
nak_Latn,Latn,24401,4.387,2.8098,-0.577,0.2,4,0.9468,tkl_Latn,1.1295,rmy_Latn,0.3456,8,0,0.0,head
nan_Latn,Latn,41646,4.62,2.8652,0.2,0.2,39,0.8611,hak_Latn,1.0666,sco_Latn,0.4762,38,7,0.179,head
nap_Latn,Latn,26109,4.417,3.0149,2.294,0.2,257,0.2641,ita_Latn,0.2641,ita_Latn,0.2611,28,21,0.724,head
naq_Latn,Latn,92558,4.966,2.7311,-1.677,0.2,1,0.9043,ktz_Latn,1.2881,ron_Latn,0.9256,85,0,0.0,head
nas_Latn,Latn,24606,4.391,2.8179,-0.463,0.2,7,0.9689,mrv_Latn,1.1373,mak_Latn,0.9446,13,0,0.0,head
nav_Latn,Latn,81124,4.909,2.7866,-0.901,0.2,1,0.6936,apw_Latn,1.2444,sco_Latn,0.9276,84,0,0.0,head
naw_Latn,Latn,17827,4.251,2.7784,-1.016,0.2,5,0.8697,aha_Latn,1.0793,xsm_Latn,0.7286,10,0,0.0,mid
nba_Latn,Latn,100000,5.0,2.8459,-0.072,0.2,64,0.6374,mck_Latn,,,,136,2,0.015,head
nbc_Latn,Latn,10982,4.041,2.8199,-0.435,0.2,51,0.8443,nph_Latn,0.8443,nph_Latn,0.9929,11,0,0.0,mid
nbe_Latn,Latn,11062,4.044,2.8174,-0.47,0.2,50,0.7874,nph_Latn,1.0495,jav_Latn,0.1106,12,0,0.0,mid
nbl_Latn,Latn,100000,5.0,2.9157,0.906,0.2,154,0.1198,nde_Latn,,,,201,25,0.124,twin
nbq_Latn,Latn,3157,3.499,2.9677,1.634,0.2,90,0.7382,aqz_Latn,0.8998,dnw_Latn,0.4903,3,0,0.0,mid
nbu_Latn,Latn,30552,4.485,2.7853,-0.92,0.2,8,0.9083,mni_Latn,1.0294,pck_Latn,0.8149,28,0,0.0,head
nca_Latn,Latn,24465,4.389,2.7937,-0.801,0.2,6,0.9511,diu_Latn,1.1979,rwo_Latn,0.4761,10,0,0.0,head
nch_Latn,Latn,100000,5.0,2.8716,0.288,0.2,26,0.4346,ncj_Latn,,,,169,1,0.006,head
ncj_Latn,Latn,100000,5.0,2.893,0.588,0.2,39,0.364,ncx_Latn,,,,170,2,0.012,head
ncl_Latn,Latn,17768,4.25,2.8409,-0.141,0.2,22,0.7023,azz_Latn,0.7023,azz_Latn,0.9983,11,0,0.0,mid
ncq_Laoo,Laoo,4269,3.63,2.7341,0.0,0.2,21,0.8226,lao_Laoo,0.8226,lao_Laoo,0.1256,2,0,0.0,mid
nct_Latn,Latn,11027,4.042,2.896,0.63,0.2,117,0.7208,aim_Latn,0.7208,aim_Latn,0.9981,11,0,0.0,mid
ncu_Latn,Latn,17218,4.236,2.7643,-1.213,0.2,0,1.0008,eto_Latn,1.1844,dua_Latn,0.3925,21,0,0.0,mid
ncx_Latn,Latn,100000,5.0,2.8702,0.269,0.2,37,0.3335,ngu_Latn,,,,127,12,0.094,head
ndc_Latn,Latn,100000,5.0,2.9455,1.323,0.2,148,0.2425,sna_Latn,,,,169,13,0.076,head
nde_Latn,Latn,100000,5.0,2.8977,0.654,0.2,124,0.1198,nbl_Latn,,,,221,51,0.23,twin
ndh_Latn,Latn,625,2.797,3.4333,8.15,0.2,623,0.2958,sby_Latn,0.4498,eme_Latn,0.969,0,0,0.0,flat_magnet
ndi_Latn,Latn,11030,4.043,2.7984,-0.736,0.2,26,0.9199,zpj_Latn,0.9778,pfe_Latn,0.7214,13,0,0.0,mid
ndj_Latn,Latn,17827,4.251,2.902,0.714,0.2,137,0.5838,heh_Latn,0.5838,heh_Latn,0.9708,8,0,0.0,mid
ndo_Latn,Latn,100000,5.0,2.9422,1.277,0.2,179,0.1895,kua_Latn,,,,384,5,0.013,twin
ndp_Latn,Latn,13523,4.131,2.8223,-0.402,0.2,52,0.8795,aqz_Latn,0.9515,mhi_Latn,0.9986,12,0,0.0,mid
