lang,N,category,support,f1_baseline,f1_freq_prior,f1_learned_bias,f1_floor21,f1_margin_q5,f1_margin_q5_head,f1_gt_margin_adaptive
mmn_Latn,11023,mid,1703,0.9838243789716926,0.9904041872637394,0.9861030689056167,0.983815028901734,0.982972582972583,0.9838243789716926,0.985748218527316
mmo_Latn,24576,head,2105,0.9576888080072793,0.9633867276887871,0.9625057155921353,0.9664830119375574,0.9574710029565612,0.9574710029565612,0.9691528545119705
mmx_Latn,28734,head,3539,0.997041003240806,0.9984478622830535,0.9977439368302313,0.997041003240806,0.997041003240806,0.997041003240806,0.9971815107102594
mna_Latn,33077,head,3494,0.9975724689418821,0.9972876516773732,0.9988561624249357,0.9971453040251214,0.9974300399771558,0.9974300399771558,0.9972876516773732
mnb_Latn,13514,mid,2161,0.9953874538745388,0.9963065558633425,0.9960766212785598,0.995848708487085,0.9951579432787641,0.9953874538745388,0.9941927990708478
mnf_Latn,13467,mid,2147,0.9997671711292201,0.9997671711292201,0.9997671711292201,0.9997671711292201,0.9997671711292201,0.9997671711292201,0.9990680335507922
mni_Beng,41766,head,7126,0.9752214839424143,0.977108768035516,0.982005858557679,0.9744654349179986,0.9752214839424143,0.9752214839424143,0.975005192826975
mni_Latn,889,flat_magnet,40,0.21220159151193632,0.4347826086956522,0.2373887240356083,0.44692737430167595,0.6842105263157895,0.78,0.5098039215686274
mni_Mtei,3424,mid,398,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mnk_Latn,13537,mid,2161,0.9988433957899607,0.9993057162693821,0.9993057162693821,0.9986111111111111,0.9988433957899607,0.9988433957899607,0.9983785035904564
mns_Cyrl,971,isolated_tail,43,0.18574514038876888,0.2986111111111111,0.2695924764890282,0.315018315018315,0.6495726495726496,0.5170068027210885,0.694214876033058
mnw_Mymr,291,flat_magnet,13,0.5777777777777777,0.6666666666666666,0.5909090909090909,0.962962962962963,0.9166666666666666,0.8461538461538461,0.9166666666666666
mnx_Latn,6272,mid,901,0.9966777408637874,0.9983361064891847,0.9966777408637874,0.997229916897507,0.9966777408637874,0.9966777408637874,0.9961089494163425
mny_Latn,41872,head,7033,0.9388696655132642,0.94061551798873,0.9397086398384539,0.936614144902511,0.9387343231944645,0.9386666666666666,0.9372927778578636
moa_Latn,17800,mid,2914,0.9994855084891099,0.9994855084891099,0.9994855084891099,0.9994855084891099,0.9994855084891099,0.9994855084891099,1.0
moc_Latn,18050,head,2966,0.9983164983164983,0.9986527450319973,0.9984845933658866,0.9986527450319973,0.9981484598552433,0.9979804779535509,0.9986527450319973
mog_Latn,13436,mid,2160,0.9972273567467652,0.9976883957466481,0.9972273567467652,0.996996996996997,0.9972273567467652,0.9972273567467652,0.9981447124304267
moh_Latn,1569,mid,88,0.8341232227488152,0.9361702127659575,0.8712871287128713,0.9513513513513514,0.8262910798122065,0.8341232227488152,0.9828571428571428
mop_Latn,18531,head,1965,0.9848679148499615,0.9851205746536685,0.985373364126251,0.985105290190036,0.9846153846153846,0.9846153846153846,0.9848523748395378
mor_Latn,13526,mid,2154,1.0,1.0,1.0,1.0,1.0,1.0,0.9995355318160707
mos_Latn,100000,head,93544,0.9964910776945042,0.9965991677333319,0.9967532119627531,0.9972433210754795,0.9964966037412416,0.9965235184778476,0.9971374301078145
mox_Latn,30851,head,2569,0.9978586723768736,0.9980529595015577,0.9980529595015577,0.9982473222979552,0.9978586723768736,0.9978586723768736,0.9982473222979552
mpg_Latn,17806,mid,1499,0.9910625620655413,0.9933642999336431,0.9930348258706468,0.9917191122888374,0.9910625620655413,0.9910625620655413,0.9983327775925308
mph_Latn,1016,mid,45,0.9090909090909091,0.9574468085106383,0.9183673469387755,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.989010989010989
mpm_Latn,17709,mid,2882,0.9991323963213605,0.9993057965984032,0.9993057965984032,0.9991323963213605,0.9991323963213605,0.9991323963213605,0.9991320951223746
mpp_Latn,13388,mid,670,0.9948032665181886,0.996282527881041,0.996282527881041,0.9948032665181886,0.9940652818991098,0.9948032665181886,0.9947643979057592
mps_Latn,62082,head,7908,0.9962627478304935,0.9962006079027356,0.9963889768767817,0.9963898916967509,0.9962627478304935,0.9962627478304935,0.9962627478304935
mpt_Latn,30449,head,746,0.9926813040585496,0.9940039973351099,0.9933422103861518,0.9920212765957447,0.9926813040585496,0.9926813040585496,0.9926813040585496
mpx_Latn,28162,head,2413,0.9958626396359123,0.9960703205791107,0.996481059821983,0.9960686943927168,0.9958626396359123,0.9958626396359123,0.9962748344370861
mqb_Latn,17749,mid,2807,0.9985760056959772,0.9992877492877492,0.9991095280498664,0.9980430528375733,0.9985760056959772,0.9985760056959772,0.9989316239316239
mqj_Latn,24541,head,1208,0.9813664596273292,0.9813818783616053,0.9829946080464538,0.9805544062887879,0.9813664596273292,0.9813664596273292,0.9796933278077082
mqy_Latn,11063,mid,1735,0.9922790963683157,0.9948394495412844,0.9951247490679668,0.9939810834049871,0.9919954259576901,0.9922790963683157,0.9944943494639236
mrg_Latn,9720,mid,1503,0.9956853634251576,0.9966777408637874,0.9976720984369803,0.9970089730807578,0.9950248756218906,0.9956853634251576,0.9949883060474439
mri_Latn,73030,head,12414,0.9855829083169351,0.9858736656232443,0.9866216704833072,0.9850913754408465,0.9856678309044924,0.9856689815744049,0.9855514528816824
mrj_Cyrl,32843,head,4974,0.8448874254694313,0.8543076229138475,0.895104895104895,0.8168772020280141,0.8424882420800426,0.838544426779721,0.8277303605643617
