lang,N,category,support_derive,support_judge,f1_baseline,f1_unmod_gate,f1_floor21,f1_floor21_gate,f1_gt_min,f1_gt_margin_adaptive,f1_freq_prior,f1_learned_bias,f1_margin_q5,f1_margin_q5_head
gfk_Latn,23745,head,420,680,0.9917355371900827,0.9917355371900827,0.989399293286219,0.989399293286219,0.9929078014184397,0.9929078014184397,0.989399293286219,0.9940828402366864,0.9917355371900827,0.9917355371900827
ghe_Deva,11062,mid,680,1064,0.9919766593727206,0.9903632320237212,0.9919766593727206,0.988095238095238,0.9919766593727206,0.986627043090639,0.9927007299270074,0.9970674486803519,0.9919766593727206,0.9919766593727206
ghs_Latn,29407,head,334,593,0.9985007496251874,0.9985007496251874,0.9970059880239521,0.9970059880239521,0.9970059880239521,0.9970059880239521,0.9970059880239521,0.9970059880239521,0.9970059880239521,0.9955156950672646
gid_Latn,11033,mid,677,1054,0.9985228951255539,0.9977794226498891,0.9985228951255539,0.9962935507783544,0.999260901699926,0.9962935507783544,0.999260901699926,0.9985228951255539,0.9985228951255539,0.9985228951255539
gil_Latn,100000,head,25586,38147,0.9967858262778301,0.9971640360656379,0.9969827586206897,0.9970066323635866,0.9958800910303696,0.996985829484068,0.9972183043410124,0.9972971914293549,0.9968456730863424,0.9964751498061334
giz_Latn,34343,head,2352,3434,0.9938415799532812,0.9938415799532812,0.9929951178093823,0.9929951178093823,0.9932059447983014,0.9932059447983014,0.9934196561239653,0.9938415799532812,0.9936305732484078,0.9936305732484078
gjn_Latn,30192,head,2003,3048,0.9992513102071375,0.9992513102071375,0.9990019960079841,0.9990019960079841,0.9990019960079841,0.9990019960079841,0.9990019960079841,0.9992513102071375,0.9992513102071375,0.9992513102071375
gkn_Latn,77520,head,5341,7924,0.9862988335493428,0.9862988335493428,0.9851132686084143,0.9851132686084143,0.9860198129802795,0.9860198129802795,0.9852981969486824,0.9871236683649839,0.9862988335493428,0.9862988335493428
gla_Latn,100000,head,7715,11780,0.9845557350565428,0.9827819694331592,0.9833483929262941,0.9813288694308524,0.9839199225056506,0.9820243541008955,0.9838584710743803,0.9856422196352348,0.9844941206874274,0.9844305187673623
gle_Latn,100000,head,17861,26994,0.9839032503594283,0.9854194706146253,0.9842145248881511,0.9847593433069984,0.9839891757808096,0.9850855060274742,0.9838659721244545,0.9858964233329571,0.9839327996391927,0.9838773324313659
glg_Latn,100000,twin,21739,32062,0.7973334852714945,0.7903968716512193,0.7961312345913142,0.7899058606888517,0.7975821627478188,0.7903049904102892,0.7904713595972122,0.9123932589346225,0.7972577765961487,0.7971669451617804
glk_Arab,22263,head,1314,2101,0.15651612903225806,0.15651612903225806,0.1546042106610354,0.1546042106610354,0.16125329191707746,0.16125329191707746,0.1899441340782123,0.6572374360517603,0.1563043618323562,0.15613335049555924
glv_Latn,60970,head,3063,4423,0.9864886863096207,0.9864886863096207,0.9861721164795836,0.9861721164795836,0.986493083807974,0.986493083807974,0.9860117111255693,0.9893981405969663,0.9863281249999999,0.9863325740318906
gmh_Latn,3042,mid,148,186,0.42105263157894735,0.918918918918919,0.465040650406504,0.9230769230769231,0.3481392557022809,0.9278350515463918,0.6343612334801763,0.6415929203539823,0.41921397379912667,0.42105263157894735
gmv_Ethi,10916,mid,676,1037,0.9985207100591716,0.9985185185185186,0.999259807549963,0.9977761304670126,0.999259807549963,0.9977761304670126,0.9985207100591716,0.9985207100591716,0.9985207100591716,0.9985207100591716
gmv_Latn,30907,head,974,1575,0.9832061068702291,0.9832061068702291,0.9837067209775967,0.9837067209775967,0.9847094801223242,0.9847094801223242,0.9837067209775967,0.9877300613496933,0.982706002034588,0.9822064056939502
gna_Latn,10888,mid,345,491,1.0,1.0,1.0,0.9985486211901305,1.0,0.9985486211901305,1.0,1.0,1.0,1.0
gnb_Latn,11064,mid,684,1059,0.9869753979739508,0.9919883466860888,0.9884057971014494,0.9912408759124088,0.9884225759768451,0.9919883466860888,0.9920000000000001,0.9891225525743292,0.9869753979739508,0.9869753979739508
gnd_Latn,13375,mid,855,1289,0.9982466393921683,0.9988290398126464,0.9994148624926857,0.9964788732394366,0.9994148624926857,0.9988290398126464,0.9994148624926857,0.9988304093567252,0.9982466393921683,0.9982466393921683
gng_Latn,17738,mid,755,1132,0.99933818663137,0.99933818663137,1.0,1.0,1.0,1.0,0.99933818663137,0.99933818663137,0.99933818663137,0.99933818663137
gnn_Latn,15289,mid,973,1495,1.0,1.0,1.0,0.9994858611825194,1.0,1.0,1.0,1.0,1.0,1.0
gnw_Latn,36657,head,1713,2534,0.9900584795321637,0.9900584795321637,0.9897750511247444,0.9897750511247444,0.9897690733703596,0.9897690733703596,0.9903480549868383,0.9903480549868383,0.9900584795321637,0.9897690733703596
goa_Latn,1598,mid,42,47,0.9333333333333333,0.963855421686747,0.9879518072289156,0.975609756097561,0.9767441860465117,0.963855421686747,0.9767441860465117,0.9545454545454545,0.9032258064516129,0.9333333333333333
gof_Ethi,11001,mid,137,211,0.9927536231884058,0.9927536231884058,0.9927536231884058,1.0,0.9927536231884058,1.0,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.9927536231884058
gof_Latn,17756,mid,748,1148,0.9484404837683006,0.9661898569570871,0.9507987220447284,0.9674054758800522,0.9478371501272264,0.9605177993527508,0.9593810444874274,0.95445798588839,0.9484404837683006,0.9484404837683006
gog_Latn,14102,mid,897,1376,0.9829763866007688,0.9944071588366891,0.9851403412217941,0.9938513135830074,0.9851403412217941,0.9927414852037968,0.9873138444567016,0.98568281938326,0.9829763866007688,0.9829763866007688
goh_Latn,306,flat_magnet,3,11,0.01226993865030675,0.023809523809523808,0.13333333333333333,0.4,0.005934718100890207,0.016393442622950817,0.021505376344086023,0.014285714285714285,0.028169014084507043,0.03125
